Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
SP-TPC-TPC0174-5040-WH-S,2020,,America First Tee,Small,30.00,Yes,https://shop.donaldjtrump.com/products/america-first-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0174-5040-WH-M-2.png?v=1574113233,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<p>We finally have a President that puts AMERICA first.</p>
<p>America is strong again, safe again, GREAT again.</p>
<p><span>• Fine Jersey (100% cotton) construction</span><br><span>• Durable rib neckband</span><br><span>• Proudly Made in USA</span></p>"
SP-TPC-TPC0174-5040-WH-M,2020,,America First Tee,Medium,30.00,Yes,https://shop.donaldjtrump.com/products/america-first-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0174-5040-WH-M-2.png?v=1574113233,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<p>We finally have a President that puts AMERICA first.</p>
<p>America is strong again, safe again, GREAT again.</p>
<p><span>• Fine Jersey (100% cotton) construction</span><br><span>• Durable rib neckband</span><br><span>• Proudly Made in USA</span></p>"
SP-TPC-TPC0174-5040-WH-L,2020,,America First Tee,Large,30.00,Yes,https://shop.donaldjtrump.com/products/america-first-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0174-5040-WH-M-2.png?v=1574113233,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<p>We finally have a President that puts AMERICA first.</p>
<p>America is strong again, safe again, GREAT again.</p>
<p><span>• Fine Jersey (100% cotton) construction</span><br><span>• Durable rib neckband</span><br><span>• Proudly Made in USA</span></p>"
SP-TPC-TPC0174-5040-WH-XL,2020,,America First Tee,X-Large,30.00,Yes,https://shop.donaldjtrump.com/products/america-first-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0174-5040-WH-M-2.png?v=1574113233,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<p>We finally have a President that puts AMERICA first.</p>
<p>America is strong again, safe again, GREAT again.</p>
<p><span>• Fine Jersey (100% cotton) construction</span><br><span>• Durable rib neckband</span><br><span>• Proudly Made in USA</span></p>"
SP-TPC-TPC0174-5040-WH-2X,2020,,America First Tee,2XL,32.50,Yes,https://shop.donaldjtrump.com/products/america-first-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0174-5040-WH-M-2.png?v=1574113233,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<p>We finally have a President that puts AMERICA first.</p>
<p>America is strong again, safe again, GREAT again.</p>
<p><span>• Fine Jersey (100% cotton) construction</span><br><span>• Durable rib neckband</span><br><span>• Proudly Made in USA</span></p>"
SP-TPC-TPC0174-5040-WH-3X,2020,,America First Tee,3XL,35.00,Yes,https://shop.donaldjtrump.com/products/america-first-tee,https://cdn.shopify.com/s/files/1/1427/9954/products/0174-5040-WH-M-2.png?v=1574113233,"<p>Show your support for re-electing President Donald J. Trump! Let everyone know who you are voting for in 2020.</p>
<p>We finally have a President that puts AMERICA first.</p>
<p>America is strong again, safe again, GREAT again.</p>
<p><span>• Fine Jersey (100% cotton) construction</span><br><span>• Durable rib neckband</span><br><span>• Proudly Made in USA</span></p>"
EMB-TPC-TPC0295-MAGAHAT4-RD,2020,,Official Make America Great Again 45th President Hat - Red,Default Title,30.00,Yes,https://shop.donaldjtrump.com/products/official-make-america-great-again-45th-president-hat-red,https://cdn.shopify.com/s/files/1/1427/9954/products/0295-MAGA-RD.png?v=1592591076,"<p><span>Do you want President Trump to Make America Great Again? S</span><span>h</span><span>ow your support by getting our BRAND NEW </span><span>MAKE AMERICA GREAT AGAIN 45th PRESIDENT </span><span>H</span><span>at today!</span></p>
<ul>
<li>Embroidered Make America Great Again logo on front</li>
<li>Embroidered American flag on left side</li>
<li>Embroidered 45 on right side</li>
<li>Embroidered Trump 2020 logo on back</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
EMB-TPC-TPC0296-MAGAHAT4-NV,2020,,Official Make America Great Again 45th President Hat - Navy,Default Title,30.00,Yes,https://shop.donaldjtrump.com/products/official-make-america-great-again-45th-president-hat-navy,https://cdn.shopify.com/s/files/1/1427/9954/products/0296-MAGA-NV.png?v=1592592336,"<p>Do you want President Trump to Make America Great Again? Show your support by getting our BRAND NEW MAKE AMERICA GREAT AGAIN 45th PRESIDENT Hat today!</p>
<ul>
<li>Embroidered Make America Great Again logo on front</li>
<li>Embroidered American flag on left side</li>
<li>Embroidered 45 on right side</li>
<li>Embroidered Trump 2020 logo on back</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
EMB-TPC-TPC0297-MAGAHAT4-WH,2020,,Official Make America Great Again 45th President Hat - White,Default Title,30.00,Yes,https://shop.donaldjtrump.com/products/official-make-america-great-again-45th-president-hat-white,https://cdn.shopify.com/s/files/1/1427/9954/products/0297-MAGA-WH.png?v=1592591906,"<p><span>Do you want President Trump to Make America Great Again? S</span><span>h</span><span>ow your support by getting our BRAND NEW </span><span>MAKE AMERICA GREAT AGAIN 45th PRESIDENT </span><span>H</span><span>at today!</span></p>
<ul>
<li>Embroidered Make America Great Again logo on front</li>
<li>Embroidered American flag on left side</li>
<li>Embroidered 45 on right side</li>
<li>Embroidered Trump 2020 logo on back</li>
<li>Plastic Snap Closure</li>
<li>Proudly Made in USA</li>
</ul>"
SP-TPC-TPC0211-0212-2032-WH-3M,2020,,Limited Edition Baby Lives Matter Infant One-Piece,3-6 mos,18.00,Yes,https://shop.donaldjtrump.com/products/babies-lives-matter,https://cdn.shopify.com/s/files/1/1427/9954/products/0211-2032-WH.png?v=1579821014,"<p>Proudly show you’re investing in your baby’s future to Make America Great Again with this incredibly soft, boutique-style one-piece.</p>
<p>• Baby rib (100% Cotton) construction<br>• Neckband designed for easy on/off.<br>• Not intended for sleepwear<br>• Unisex<br>• Proudly Made in USA</p>"
